pair,pool,volume,vol_rank,Volume Share,tvl,tvl_rank,TVL Share,Fee Earned,fee_rank,Fee Share,Fee/TVL,apy
USDC-WETH 0.01%,"<a href=""https://info.uniswap.org/#/pools/0xe0554a476a092703abdb3ef35c80e0d76d32939f"" target=""_blank"">🔗🦄 0xe055...939f</a>",9.334106700996931e+09,11.,0.01099599345913896,301999.185917367,140.,0.0002324250379084384,933410.6700996931,141.,0.0007035921039506268,309.0772139879519,1.5001753072553516
DAI-USDC 0.05%,"<a href=""https://info.uniswap.org/#/pools/0x6c6bc977e13df9b0de53b251522280bb72383700"" target=""_blank"">🔗🦄 0x6c6b...3700</a>",7.195968458275962e+09,12.,0.008477171370980963,7.9432391297568e+06,20.,0.006113286862815169,3.5979842291379813e+06,50.,0.002712110944146361,45.296184218592714,0.2198551494652439
APE-WETH 0.3%,"<a href=""https://info.uniswap.org/#/pools/0xac4b3dacb91461209ae9d41ec517c2b9cb1b7daf"" target=""_blank"">🔗🦄 0xac4b...7daf</a>",6.62818082884375e+09,13.,0.007808292252773561,6.540641154985151e+06,24.,0.00503381743819957,1.988454248653125e+07,9.,0.014988694186129114,304.0151877369948,1.475605631968126
FEI-USDC 0.05%,"<a href=""https://info.uniswap.org/#/pools/0x8c54aa2a32a779e6f6fbea568ad85a19e0109c26"" target=""_blank"">🔗🦄 0x8c54...9c26</a>",6.205143646941162e+09,14.,0.0073099356093170855,888077.787242297,63.,0.0006834836747603395,3.1025718234705813e+06,56.,0.002338675897823676,349.3581157011978,1.6956876626454414
WETH-LOOKS 0.3%,"<a href=""https://info.uniswap.org/#/pools/0x4b5ab61593a2401b1075b90c04cbcdd3f87ce011"" target=""_blank"">🔗🦄 0x4b5a...e011</a>",6.092743193165831e+09,15.,0.007177522868161491,133044.972674198,235.,0.00010239425885667376,1.827822957949749e+07,10.,0.013777877646242958,13738.384256169846,66.68231720082439
LINK-WETH 0.3%,"<a href=""https://info.uniswap.org/#/pools/0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8"" target=""_blank"">🔗🦄 0xa6cc...93e8</a>",5.528716749103347e+09,16.,0.0065130745938526,1.626957044124407e+07,15.,0.012521409668948059,1.658615024731004e+07,12.,0.012502411556640633,101.94583997905333,0.4948169094727987
HEX-USDC 0.3%,"<a href=""https://info.uniswap.org/#/pools/0x69d91b94f0aaf8e8a2586909fa77a5c2c89818d5"" target=""_blank"">🔗🦄 0x69d9...18d5</a>",5.014393508093569e+09,17.,0.005907178906649598,648452.790770799,84.,0.0004990631481966137,1.5043180524280705e+07,13.,0.011339342236207028,2319.857472800644,11.259946510269083
UNI-WETH 0.3%,"<a href=""https://info.uniswap.org/#/pools/0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801"" target=""_blank"">🔗🦄 0x1d42...d801</a>",4.355780981377531e+09,18.,0.005131304013864943,2.28213883585169e+06,37.,0.0017563828982647778,1.3067342944132593e+07,15.,0.009849983088499143,572.5919360754353,2.779202881217206
USDC-UST 0.01%,"<a href=""https://info.uniswap.org/#/pools/0x18d96b617a3e5c42a2ada4bc5d1b48e223f17d0d"" target=""_blank"">🔗🦄 0x18d9...7d0d</a>",4.136936365926569e+09,19.,0.00487349530895593,88.40454117176,1483.,6.803802722417473e-08,413693.6365926569,239.,0.00031183656399613,467955.1877192565,2271.3250467756466
MATIC-WETH 0.3%,"<a href=""https://info.uniswap.org/#/pools/0x290a6a7460b308ee3f19023d2d00de604bcf5b42"" target=""_blank"">🔗🦄 0x290a...5b42</a>",4.1135432294830265e+09,20.,0.004845937152234359,1.258152360473754e+07,17.,0.009683009879295408,1.234062968844908e+07,17.,0.009302196647959993,98.08533589526667,0.4760790904491002
FRAX-USDC 0.05%,"<a href=""https://info.uniswap.org/#/pools/0xc63b0708e2f7e69cb8a1df0e1389a98c35a76d52"" target=""_blank"">🔗🦄 0xc63b...6d52</a>",2.8044812897072754e+09,21.,0.0033038038781584883,4.90198319295371e+07,6.,0.03772671194420177,1.4022406448536376e+06,101.,0.001056989680064703,2.8605578388544246,0.013884356531673737
ETH2x-FLI-WETH 0.3%,"<a href=""https://info.uniswap.org/#/pools/0x151ccb92bc1ed5c6d0f9adb5cec4763ceb66ac7f"" target=""_blank"">🔗🦄 0x151c...ac7f</a>",2.7396797660410542e+09,22.,0.003227464796851447,753059.448431256,74.,0.0005795706710839746,8.219039298123163e+06,22.,0.006195398592992001,1091.4197166299082,5.297449422472293
WETH-ENS 0.3%,"<a href=""https://info.uniswap.org/#/pools/0x92560c178ce069cc014138ed3c2f5221ba71f58a"" target=""_blank"">🔗🦄 0x9256...f58a</a>",2.2815180070224733e+09,23.,0.002687729837012404,2.562942666553068e+06,36.,0.001972495537103018,6.84455402106742e+06,27.,0.005159330526800384,267.05841337733636,1.2962276713128693
AXS-WETH 0.3%,"<a href=""https://info.uniswap.org/#/pools/0x3019d4e366576a88d28b623afaf3ecb9ec9d9580"" target=""_blank"">🔗🦄 0x3019...9580</a>",2.2057536277045555e+09,24.,0.002598476023433589,82858.8809302465,300.,6.376996839499041e-05,6.6172608831136655e+06,28.,0.004988000090724116,7986.181817594553,38.762717598696966
SHIB-WETH 0.3%,"<a href=""https://info.uniswap.org/#/pools/0x2f62f2b4c5fcd7570a709dec05d68ea19c82a9ec"" target=""_blank"">🔗🦄 0x2f62...a9ec</a>",2.177822541353644e+09,25.,0.0025655719595890584,206074.386805922,191.,0.00015859925919942762,6.533467624060932e+06,29.,0.004924837886431448,3170.441375722283,15.388445507162675
HEX-WETH 0.3%,"<a href=""https://info.uniswap.org/#/pools/0x9e0905249ceefffb9605e034b534544684a58be6"" target=""_blank"">🔗🦄 0x9e09...8be6</a>",2.0493179843296962e+09,26.,0.002414187867487994,381549.921881821,123.,0.0002936489871254456,6.147953952989088e+06,32.,0.004634242992222452,1611.3104997288713,7.820855484056357
LDO-WETH 0.3%,"<a href=""https://info.uniswap.org/#/pools/0xa3f558aebaecaf0e11ca4b2199cc5ed341edfd74"" target=""_blank"">🔗🦄 0xa3f5...fd74</a>",1.940936108870683e+09,27.,0.002286509190586943,2.26572486983522e+06,38.,0.0017437503586702847,5.822808326612049e+06,33.,0.004389152698441546,256.99538386739454,1.2473845094627527
SHIB-WETH 1%,"<a href=""https://info.uniswap.org/#/pools/0x5764a6f2212d502bc5970f9f129ffcd61e5d7563"" target=""_blank"">🔗🦄 0x5764...7563</a>",1.6959979950572996e+09,28.,0.001997961182334784,241580.574269675,172.,0.00018592558109721235,1.6959979950572997e+07,11.,0.012784199236879953,7020.42372481517,34.075194940924696
DAI-FEI 0.05%,"<a href=""https://info.uniswap.org/#/pools/0xbb2e5c2ff298fd96e166f90c8abacaf714df14f8"" target=""_blank"">🔗🦄 0xbb2e...14f8</a>",1.6125368989173205e+09,29.,0.0018996402935078155,397047.198055823,119.,0.0003055760225950231,806268.4494586602,161.,0.0006077540496114529,203.0661476536355,0.9856269134784171
GALA-WETH 0.3%,"<a href=""https://info.uniswap.org/#/pools/0xf8a95b2409c27678a6d18d950c5d913d5c38ab03"" target=""_blank"">🔗🦄 0xf8a9...ab03</a>",1.5428400063529513e+09,30.,0.0018175342495863056,30593.260915958,449.,2.3545228463231347e-05,4.628520019058853e+06,41.,0.003488914625369982,15129.214344864211,73.43302175366273
Metis-WETH 0.3%,"<a href=""https://info.uniswap.org/#/pools/0x1c98562a2fab5af19d8fb3291a36ac3c618835d9"" target=""_blank"">🔗🦄 0x1c98...35d9</a>",1.521282917147897e+09,31.,0.0017921390382939883,663177.058282785,83.,0.0005103952596533106,4.563848751443692e+06,42.,0.003440166314788053,688.1795282938788,3.3402330828093847
DYDX-WETH 0.3%,"<a href=""https://info.uniswap.org/#/pools/0xd8de6af55f618a7bc69835d55ddc6582220c36c0"" target=""_blank"">🔗🦄 0xd8de...36c0</a>",1.4440989760155604e+09,32.,0.0017012129176668164,290248.935725953,145.,0.00022338179384181266,4.332296928046681e+06,45.,0.0032656257402946137,1492.6142337821163,7.244736640032879
FTM-WETH 1%,"<a href=""https://info.uniswap.org/#/pools/0x3b685307c8611afb2a9e83ebc8743dc20480716e"" target=""_blank"">🔗🦄 0x3b68...716e</a>",1.3354258033332596e+09,33.,0.0015731910796615975,2.076244324273053e+06,39.,0.0015979220748905778,1.3354258033332596e+07,14.,0.010066255730040568,643.1929940619232,3.1218808887314093
cbETH-WETH 0.05%,"<a href=""https://info.uniswap.org/#/pools/0x840deeef2f115cf50da625f7368c24af6fe74410"" target=""_blank"">🔗🦄 0x840d...4410</a>",1.2987307599049408e+09,34.,0.0015299626840104617,1.51549328982884e+07,16.,0.011663560756578716,649365.3799524704,183.,0.0004894826773992832,4.284844969691749,0.020797452312998514
BUSD-USDC 0.01%,"<a href=""https://info.uniswap.org/#/pools/0x5e35c4eba72470ee1177dcb14dddf4d9e6d915f4"" target=""_blank"">🔗🦄 0x5e35...15f4</a>",1.2638901028783154e+09,35.,0.0014889188381397092,4.20289879084698e+06,29.,0.003234640874347348,126389.01028783155,447.,9.527029475156421e-05,3.0071866246953163,0.014596052101247212
FEI-USDC 0.01%,"<a href=""https://info.uniswap.org/#/pools/0xdf50fbde8180c8785842c8e316ebe06f542d3443"" target=""_blank"">🔗🦄 0xdf50...3443</a>",1.2182404660954719e+09,36.,0.0014351415326560892,169279.616355446,210.,0.00013028121625237088,121824.0466095472,458.,9.18292880202835e-05,71.96616416813372,0.34930385533735114
MIM-USDC 0.05%,"<a href=""https://info.uniswap.org/#/pools/0x298b7c5e0770d151e4c5cf6cca4dae3a3ffc8e27"" target=""_blank"">🔗🦄 0x298b...8e27</a>",1.192888231479132e+09,37.,0.00140527547102364,206977.665650588,190.,0.00015929444193336662,596444.1157395659,198.,0.00044959135750757086,288.1683460216721,1.398689445450935
LUSD-USDC 0.05%,"<a href=""https://info.uniswap.org/#/pools/0x4e0924d3a751be199c426d52fb1f2337fa96f736"" target=""_blank"">🔗🦄 0x4e09...f736</a>",1.1748250024104152e+09,38.,0.0013839961825975365,4.03857401497607e+06,30.,0.0031081730093924327,587412.5012052075,200.,0.00044278345089598096,14.54504731192077,0.07059763655387076
RBN-WETH 1%,"<a href=""https://info.uniswap.org/#/pools/0x94981f69f7483af3ae218cbfe65233cc3c60d93a"" target=""_blank"">🔗🦄 0x9498...d93a</a>",1.153878028240462e+09,39.,0.0013593197139926774,26049.333190406,479.,2.0048124420859512e-05,1.1538780282404622e+07,18.,0.008697773612395033,44295.87582170575,214.9999291878005
WETH-MKR 0.3%,"<a href=""https://info.uniswap.org/#/pools/0xe8c6c9227491c0a8156a0106a0204d881bb7e531"" target=""_blank"">🔗🦄 0xe8c6...e531</a>",1.1422888122981496e+09,40.,0.0013456671013988438,7.531514233217139e+06,21.,0.0057964145692843425,3.426866436894449e+06,52.,0.002583124709764496,45.50036461168101,0.22084618461786656
WBTC-USDC 0.05%,"<a href=""https://info.uniswap.org/#/pools/0x9a772018fbd77fcd2d25657e5c547baff3fd7d16"" target=""_blank"">🔗🦄 0x9a77...7d16</a>",1.1083629966855536e+09,41.,0.0013057009794632314,2.04802790346544e+07,12.,0.015762061134520448,554181.4983427768,206.,0.00041773437874655957,2.7059274798212165,0.013133823539025851
AGLD-WETH 1%,"<a href=""https://info.uniswap.org/#/pools/0x5d752f322befb038991579972e912b02f61a3dda"" target=""_blank"">🔗🦄 0x5d75...3dda</a>",1.1041744948351586e+09,42.,0.0013007667377167107,3628.57817938296,812.,2.792631438177388e-06,1.1041744948351584e+07,19.,0.008323115225013595,304299.4914947439,1476.9855637710311
STRONG-WETH 0.3%,"<a href=""https://info.uniswap.org/#/pools/0xd34e4855146ac0c6d0e4a652bd5fb54830f91ba8"" target=""_blank"">🔗🦄 0xd34e...1ba8</a>",1.0925817177299447e+09,43.,0.001287109929914356,306.855546203294,1275.,2.3616259673703228e-07,3.277745153189834e+06,53.,0.002470719140483461,1.0681720417783502e+06,5184.611638950769
WBTC-renBTC 0.05%,"<a href=""https://info.uniswap.org/#/pools/0x3730ecd0aa7eb9b35a4e89b032bef80a1a41aa7f"" target=""_blank"">🔗🦄 0x3730...aa7f</a>",1.0781570847294593e+09,44.,0.001270117069729152,156903.351680116,221.,0.00012075617803880587,539078.5423647296,212.,0.00040634997859680236,343.5736308958949,1.6676113733643834
SPELL-WETH 0.3%,"<a href=""https://info.uniswap.org/#/pools/0xfebf38b1d34818d4827034f97b7d6d77c79d4997"" target=""_blank"">🔗🦄 0xfebf...4997</a>",1.0461998901725093e+09,45.,0.0012324700710845873,95379.9884588062,275.,7.340648076882646e-05,3.138599670517528e+06,55.,0.0023658331925885466,3290.627018552285,15.971793374622127
APE-WETH 1%,"<a href=""https://info.uniswap.org/#/pools/0xf79fc43494ce8a4613cb0b2a67a1b1207fd05d27"" target=""_blank"">🔗🦄 0xf79f...5d27</a>",1.041127849488042e+09,46.,0.0012264949812364145,195434.2169237197,198.,0.00015041035670053225,1.041127849488042e+07,20.,0.007847878298034081,5327.254694066221,25.85702078901823
QNT-WETH 0.3%,"<a href=""https://info.uniswap.org/#/pools/0x24ee2c6b9597f035088cda8575e9d5e15a84b9df"" target=""_blank"">🔗🦄 0x24ee...b9df</a>",1.0287679037540896e+09,47.,0.0012119344146177215,2.82580534720242e+06,34.,0.00217480028282295,3.0863037112622685e+06,57.,0.002326413218959368,109.2185530159657,0.530116646952493
agEUR-USDC 0.01%,"<a href=""https://info.uniswap.org/#/pools/0x735a26a57a0a0069dfabd41595a970faf5e1ee8b"" target=""_blank"">🔗🦄 0x735a...ee8b</a>",1.0179462208160039e+09,48.,0.0011991859900907815,8.21143412582723e+06,19.,0.006319695472623738,101794.62208160039,488.,7.673138374730875e-05,1.2396692285629884,0.006017011548211313
WBTC-USDT 0.3%,"<a href=""https://info.uniswap.org/#/pools/0x9db9e0e53058c89e5b94e29621a205198648425b"" target=""_blank"">🔗🦄 0x9db9...425b</a>",9.543400118430474e+08,49.,0.0011242550427348278,2.05234650195364e+06,40.,0.0015795297992900782,2.8630200355291422e+06,61.,0.0021581050602684877,139.49983751787613,0.6770936262503296
FEI-USDC 0.3%,"<a href=""https://info.uniswap.org/#/pools/0x5180545835bd68810fb7e11c7160bb7ea4ae8744"" target=""_blank"">🔗🦄 0x5180...8744</a>",9.19353909033957e+08,50.,0.0010830398552537984,214.518904778066,1328.,1.6509834098943978e-07,2.758061727101871e+06,63.,0.002078988933338467,1.2856963492123308e+06,6240.41446093751
WETH-BTRFLY 1%,"<a href=""https://info.uniswap.org/#/pools/0xdf9ab3c649005ebfdf682d2302ca1f673e0d37a2"" target=""_blank"">🔗🦄 0xdf9a...37a2</a>",9.08551805638118e+08,51.,0.0010703144962997484,515.695383659385,1184.,3.968902059525269e-07,9.085518056381179e+06,21.,0.006848538343886611,1.7617993769713736e+06,8551.286869608395
CEL-WETH 0.3%,"<a href=""https://info.uniswap.org/#/pools/0x06729eb2424da47898f935267bd4a62940de5105"" target=""_blank"">🔗🦄 0x0672...5105</a>",8.592286553448765e+08,52.,0.0010122096282730432,178030.08450097,205.,0.00013701576384481535,2.57768596603463e+06,66.,0.0019430241696000786,1447.893468825818,7.027674416508293
WETH-SLP 0.3%,"<a href=""https://info.uniswap.org/#/pools/0x0cfbed8f2248d2735203f602be0cae5a3131ec68"" target=""_blank"">🔗🦄 0x0cfb...ec68</a>",8.396369512213652e+08,53.,0.0009891297281501416,1604.62098523481,972.,1.2349506578601313e-06,2.5189108536640955e+06,68.,0.0018987202996129252,156978.55611027637,761.9304917586553
PAX-WETH 0.3%,"<a href=""https://info.uniswap.org/#/pools/0xd83d78108dd0d1dffff11ea3f99871671a52488b"" target=""_blank"">🔗🦄 0xd83d...488b</a>",8.393366521696811e+08,54.,0.0009887759624911576,626.106930422636,1149.,4.818652957496221e-07,2.518009956509043e+06,69.,0.0018980412157486935,402169.31552080583,1952.0186192166773
NEXO-WETH 0.3%,"<a href=""https://info.uniswap.org/#/pools/0x4c54ff7f1c424ff5487a32aad0b48b19cbaf087f"" target=""_blank"">🔗🦄 0x4c54...087f</a>",8.320070068464004e+08,55.,0.0009801413138188864,127204.596139674,243.,9.789938005985568e-05,2.4960210205392013e+06,70.,0.0018814662587461081,1962.209775658188,9.524023512170725
USDC-WETH 1%,"<a href=""https://info.uniswap.org/#/pools/0x7bea39867e4169dbe237d55c8242a8f2fcdcc387"" target=""_blank"">🔗🦄 0x7bea...c387</a>",8.10717393185657e+08,56.,0.0009550612006318229,2.502061754947738e+07,10.,0.019256402843486585,8.10717393185657e+06,23.,0.006111076021018067,32.401973755543494,0.15727021836134808
WETH-CRV 1%,"<a href=""https://info.uniswap.org/#/pools/0x4c83a7f819a5c37d64b4c5a2f8238ea082fa1f4e"" target=""_blank"">🔗🦄 0x4c83...1f4e</a>",7.767262064418095e+08,57.,0.0009150180685917962,69943.2475085367,323.,5.382982044878443e-05,7.767262064418095e+06,24.,0.005854855138152779,11105.092115532792,53.901045507572725
WBTC-PAX 0.3%,"<a href=""https://info.uniswap.org/#/pools/0x8f8ef111b67c04eb1641f5ff19ee54cda062f163"" target=""_blank"">🔗🦄 0x8f8e...f163</a>",7.435169145557055e+08,58.,0.00087589604352182,165600.355977789,213.,0.00012744957870952688,2.2305507436671164e+06,75.,0.0016813584213021286,1346.9480367338626,6.537713210210902
SAND-WETH 1%,"<a href=""https://info.uniswap.org/#/pools/0x5b97b125cf8af96834f2d08c8f1291bd47724939"" target=""_blank"">🔗🦄 0x5b97...4939</a>",7.195107806336012e+08,59.,0.0008476157484660028,181630.984568435,204.,0.00013978709361559842,7.195107806336013e+06,25.,0.005423573140717195,3961.3878785230263,19.22748105932054
PEOPLE-WETH 1%,"<a href=""https://info.uniswap.org/#/pools/0x83abecf7204d5afc1bea5df734f085f2535a9976"" target=""_blank"">🔗🦄 0x83ab...9976</a>",7.08949897375276e+08,60.,0.0008351745575785159,38260.5959265875,408.,2.9446173610116184e-05,7.08949897375276e+06,26.,0.00534396665764037,18529.50483927572,89.93709130765475
PERP-WETH 0.3%,"<a href=""https://info.uniswap.org/#/pools/0xcd83055557536eff25fd0eafbc56e74a1b4260b3"" target=""_blank"">🔗🦄 0xcd83...60b3</a>",7.042322051942488e+08,61.,0.0008296169060509984,617442.261620749,87.,0.0004751967811686137,2.1126966155827465e+06,76.,0.0015925216031743776,342.16909772859475,1.660794157858206
WETH-RPL 0.3%,"<a href=""https://info.uniswap.org/#/pools/0xe42318ea3b998e8355a3da364eb9d48ec725eb45"" target=""_blank"">🔗🦄 0xe423...eb45</a>",7.01970282164255e+08,62.,0.000826952259969737,2.03670803583432e+06,41.,0.0015674941010163507,2.105910846492765e+06,77.,0.0015874065839187766,103.39777766085636,0.5018642133804864
RARE-WETH 0.3%,"<a href=""https://info.uniswap.org/#/pools/0x7685cd3ddd862b8745b1082a6acb19e14eaa74f3"" target=""_blank"">🔗🦄 0x7685...74f3</a>",6.752266501673411e+08,63.,0.0007954470702465174,42482.3034132704,393.,3.269529005938733e-05,2.0256799505020236e+06,80.,0.0015269296398251972,4768.291235990871,23.143966770434417
1INCH-WETH 0.3%,"<a href=""https://info.uniswap.org/#/pools/0xd35efae4097d005720608eaf37e42a5936c94b44"" target=""_blank"">🔗🦄 0xd35e...4b44</a>",6.543446284182016e+08,64.,0.000770847118486526,3933.63181792743,794.,3.027407248209557e-06,1.9630338852546045e+06,81.,0.0014797078988877898,49903.854150968735,242.2195048551009
COMP-WETH 0.3%,"<a href=""https://info.uniswap.org/#/pools/0xea4ba4ce14fdd287f380b55419b1c5b6c3f22ab6"" target=""_blank"">🔗🦄 0xea4b...2ab6</a>",6.507665191570328e+08,65.,0.000766631946398586,22959.8625349287,492.,1.7670401672915424e-05,1.9522995574710984e+06,83.,0.0014716165104864914,8503.097762458625,41.27168461831646
rETH-WETH 0.05%,"<a href=""https://info.uniswap.org/#/pools/0xa4e0faa58465a2d369aa21b3e42d43374c6f9613"" target=""_blank"">🔗🦄 0xa4e0...9613</a>",6.305796433780156e+08,66.,0.0007428509075550065,5.51024930268898e+06,26.,0.004240805812678127,315289.8216890078,286.,0.00023766112398596626,5.7218794353850315,0.027772420131855536
OHM-WETH 1%,"<a href=""https://info.uniswap.org/#/pools/0xf1b63cd9d80f922514c04b0fd0a30373316dd75b"" target=""_blank"">🔗🦄 0xf1b6...d75b</a>",6.267111489486989e+08,67.,0.0007382936488044781,101906.8123298534,270.,7.84296641295423e-05,6.267111489486989e+06,30.,0.004724062301655862,6149.845477652185,29.849648927434142
LDO-WETH 1%,"<a href=""https://info.uniswap.org/#/pools/0xf4ad61db72f114be877e87d62dc5e7bd52df4d9b"" target=""_blank"">🔗🦄 0xf4ad...4d9b</a>",6.247366734747092e+08,68.,0.0007359676287478507,305027.012733302,139.,0.00023475531823795702,6.247366734747092e+06,31.,0.004709178977547355,2048.135566343899,9.941083533451106
APE-USDC 0.3%,"<a href=""https://info.uniswap.org/#/pools/0xb07fe2f407f971125d4eb1977f8acee8846c7324"" target=""_blank"">🔗🦄 0xb07f...7324</a>",6.134272324568056e+08,69.,0.0007226446034768728,285527.288662707,147.,0.00021974791319299034,1.8402816973704167e+06,86.,0.0013871789907612584,644.5204260473818,3.1283238764267867
AAVE-WETH 0.3%,"<a href=""https://info.uniswap.org/#/pools/0x5ab53ee1d50eef2c1dd3d5402789cd27bb52c1bb"" target=""_blank"">🔗🦄 0x5ab5...c1bb</a>",5.74905297091163e+08,70.,0.000677264047749056,913150.20114982,61.,0.0007027799411897021,1.724715891273489e+06,90.,0.0013000670782224795,188.87537768723723,0.9167488411681063
DYDX-WETH 1%,"<a href=""https://info.uniswap.org/#/pools/0xe0cfa17aa9b8f930fd936633c0252d5cb745c2c3"" target=""_blank"">🔗🦄 0xe0cf...c2c3</a>",5.691504003360862e+08,71.,0.0006704845230335214,88002.0557103253,289.,6.772826579767488e-05,5.691504003360861e+06,34.,0.0042901773084942155,6467.467103377081,31.391296445912694
WETH-LUNA 1%,"<a href=""https://info.uniswap.org/#/pools/0x16b70f44719b227278a2dc1122e8106cc929ecd1"" target=""_blank"">🔗🦄 0x16b7...ecd1</a>",5.63701348408805e+08,72.,0.0006640652971482536,12416.6643514071,598.,9.556130669046912e-06,5.63701348408805e+06,35.,0.004249103105757253,45398.77478003377,220.35309567436605
WETH-LOOKS 1%,"<a href=""https://info.uniswap.org/#/pools/0x6231e794773e4dc0b1ad79105d850a05d5fc0fcb"" target=""_blank"">🔗🦄 0x6231...0fcb</a>",5.607720814728125e+08,73.,0.0006606144902204941,4600.51075440079,773.,3.5406515525586774e-06,5.607720814728125e+06,36.,0.004227022695145407,121893.43996998269,591.6370424074958
WETH-ICE 0.3%,"<a href=""https://info.uniswap.org/#/pools/0x36bcf57291a291a6e0e0bff7b12b69b556bcd9ed"" target=""_blank"">🔗🦄 0x36bc...d9ed</a>",5.469723339854792e+08,74.,0.0006443577730038077,25511.7456975372,483.,1.963438557904912e-05,1.6409170019564377e+06,92.,0.0012369006299141347,6432.00595290837,31.219177829940893
LQTY-WETH 0.3%,"<a href=""https://info.uniswap.org/#/pools/0xd1d5a4c0ea98971894772dcd6d2f1dc71083c44e"" target=""_blank"">🔗🦄 0xd1d5...c44e</a>",5.376697494180326e+08,75.,0.0006333989140220686,519892.912260177,100.,0.00040012071381365663,1.6130092482540978e+06,96.,0.0012158641496456284,310.25798009857806,1.5059064193614493
WETH-oSQTH 0.3%,"<a href=""https://info.uniswap.org/#/pools/0x82c427adfdf2d245ec51d8046b41c4ee87f0d29c"" target=""_blank"">🔗🦄 0x82c4...d29c</a>",5.1420781984493166e+08,76.,0.0006057597159296532,357020.069237175,128.,0.00027477028745775755,1.542623459534795e+06,98.,0.0011628083117817339,432.0831214981368,2.097211959399201
